date,agency_name,value,source
2015-01-01,Caltrain,1461107,NTD
2015-02-01,Caltrain,1278742,NTD
2015-03-01,Caltrain,1487647,NTD
2015-04-01,Caltrain,1449978,NTD
2015-05-01,Caltrain,1462279,NTD
2015-06-01,Caltrain,1653887,NTD
2015-07-01,Caltrain,1634676,NTD
2015-08-01,Caltrain,1494831,NTD
2015-09-01,Caltrain,1393666,NTD
2015-10-01,Caltrain,1447409,NTD
2015-11-01,Caltrain,1346951,NTD
2015-12-01,Caltrain,1475306,NTD
2016-01-01,Caltrain,1395839,NTD
2016-02-01,Caltrain,1414348,NTD
2016-03-01,Caltrain,1671865,NTD
2016-04-01,Caltrain,1558077,NTD
2016-05-01,Caltrain,1573266,NTD
2016-06-01,Caltrain,1529319,NTD
2016-07-01,Caltrain,1535867,NTD
2016-08-01,Caltrain,1616148,NTD
2016-09-01,Caltrain,1596485,NTD
2016-10-01,Caltrain,1533749,NTD
2016-11-01,Caltrain,1639861,NTD
2016-12-01,Caltrain,1430057,NTD
2017-01-01,Caltrain,1333404,NTD
2017-02-01,Caltrain,1037741,NTD
2017-03-01,Caltrain,1383750,NTD
2017-04-01,Caltrain,1438579,NTD
2017-05-01,Caltrain,1656958,NTD
2017-06-01,Caltrain,1638153,NTD
2017-07-01,Caltrain,1367011,NTD
2017-08-01,Caltrain,1501648,NTD
2017-09-01,Caltrain,1400331,NTD
2017-10-01,Caltrain,1532203,NTD
2017-11-01,Caltrain,1423352,NTD
2017-12-01,Caltrain,1300001,NTD
2018-01-01,Caltrain,1427565,NTD
2018-02-01,Caltrain,1328591,NTD
2018-03-01,Caltrain,1618135,NTD
2018-04-01,Caltrain,1559020,NTD
2018-05-01,Caltrain,1505743,NTD
2018-06-01,Caltrain,1609622,NTD
2018-07-01,Caltrain,1636735,NTD
2018-08-01,Caltrain,1795420,NTD
2018-09-01,Caltrain,1457756,NTD
2018-10-01,Caltrain,1722508,NTD
2018-11-01,Caltrain,1544743,NTD
2018-12-01,Caltrain,1401373,NTD
2019-01-01,Caltrain,1474345,NTD
2019-02-01,Caltrain,1231441,NTD
2019-03-01,Caltrain,1393167,NTD
2019-04-01,Caltrain,1357133,NTD
2019-05-01,Caltrain,1475165,NTD
2019-06-01,Caltrain,1270836,NTD
2019-07-01,Caltrain,1374678,NTD
2019-08-01,Caltrain,1400274,NTD
2019-09-01,Caltrain,1484457,NTD
2019-10-01,Caltrain,1898725,NTD
2019-11-01,Caltrain,1665931,NTD
2019-12-01,Caltrain,1595134,NTD
2020-01-01,Caltrain,1534159,NTD
2020-02-01,Caltrain,1257698,NTD
2020-03-01,Caltrain,1242162,NTD
2020-04-01,Caltrain,43512,NTD
2020-05-01,Caltrain,51768,NTD
2020-06-01,Caltrain,71903,NTD
2020-07-01,Caltrain,89382,NTD
2020-08-01,Caltrain,86880,NTD
2020-09-01,Caltrain,79564,NTD
2020-10-01,Caltrain,92280,NTD
2020-11-01,Caltrain,85516,NTD
2020-12-01,Caltrain,89803,NTD
2021-01-01,Caltrain,78044,NTD
2021-02-01,Caltrain,81443,NTD
2021-03-01,Caltrain,110350,NTD
2021-04-01,Caltrain,126214,NTD
2021-05-01,Caltrain,138431,NTD
2021-06-01,Caltrain,153438,NTD
2021-07-01,Caltrain,207807,NTD
2021-08-01,Caltrain,268813,NTD
2021-09-01,Caltrain,377183,NTD
2021-10-01,Caltrain,391306,NTD
2021-11-01,Caltrain,354318,NTD
2021-12-01,Caltrain,373130,NTD
2022-01-01,Caltrain,297996,NTD
2022-02-01,Caltrain,281982,NTD
2022-03-01,Caltrain,273345,NTD
2022-04-01,Caltrain,346266,NTD
2022-05-01,Caltrain,390156,NTD
2022-06-01,Caltrain,492527,NTD
2022-07-01,Caltrain,512274,NTD
2022-08-01,Caltrain,626816,NTD
