date,agency_name,value,source
2006-09-01,Bay Area Rapid Transit,9164925,NTD
2006-10-01,San Francisco Municipal Railway,12251080,NTD
2006-10-01,Bay Area Rapid Transit,9657712,NTD
2006-11-01,San Francisco Municipal Railway,9636330,NTD
2006-11-01,Bay Area Rapid Transit,8886575,NTD
2006-12-01,San Francisco Municipal Railway,10554160,NTD
2006-12-01,Bay Area Rapid Transit,8589717,NTD
2007-01-01,San Francisco Municipal Railway,9715670,NTD
2007-01-01,Bay Area Rapid Transit,8670049,NTD
2007-02-01,Bay Area Rapid Transit,8096154,NTD
2007-02-01,San Francisco Municipal Railway,9491250,NTD
2007-03-01,Bay Area Rapid Transit,9482455,NTD
2007-03-01,San Francisco Municipal Railway,11220540,NTD
2007-04-01,San Francisco Municipal Railway,10850920,NTD
2007-04-01,Bay Area Rapid Transit,9038628,NTD
2007-05-01,San Francisco Municipal Railway,12118180,NTD
2007-05-01,Bay Area Rapid Transit,9836950,NTD
2007-06-01,Bay Area Rapid Transit,9346900,NTD
2007-06-01,San Francisco Municipal Railway,11946570,NTD
2007-07-01,Bay Area Rapid Transit,9457565,NTD
2007-07-01,San Francisco Municipal Railway,11256040,NTD
2007-08-01,San Francisco Municipal Railway,12601500,NTD
2007-08-01,Bay Area Rapid Transit,10003205,NTD
2007-09-01,Bay Area Rapid Transit,9597672,NTD
2007-09-01,San Francisco Municipal Railway,11051390,NTD
2007-10-01,San Francisco Municipal Railway,12171190,NTD
2007-10-01,Bay Area Rapid Transit,10242240,NTD
2007-11-01,San Francisco Municipal Railway,9573490,NTD
2007-11-01,Bay Area Rapid Transit,9547627,NTD
2007-12-01,San Francisco Municipal Railway,10485350,NTD
2007-12-01,Bay Area Rapid Transit,9124637,NTD
2008-01-01,Bay Area Rapid Transit,8949719,NTD
2008-01-01,San Francisco Municipal Railway,9717940,NTD
2008-02-01,San Francisco Municipal Railway,9493480,NTD
2008-02-01,Bay Area Rapid Transit,8975483,NTD
2008-03-01,San Francisco Municipal Railway,11223170,NTD
2008-03-01,Bay Area Rapid Transit,9516160,NTD
2008-04-01,San Francisco Municipal Railway,10853470,NTD
2008-04-01,Bay Area Rapid Transit,9892985,NTD
2008-05-01,San Francisco Municipal Railway,12121020,NTD
2008-05-01,Bay Area Rapid Transit,9882353,NTD
2008-06-01,San Francisco Municipal Railway,11949370,NTD
2008-06-01,Bay Area Rapid Transit,10038037,NTD
2008-07-01,Bay Area Rapid Transit,10391609,NTD
2008-07-01,San Francisco Municipal Railway,12956685,NTD
2008-08-01,Bay Area Rapid Transit,10125927,NTD
2008-08-01,San Francisco Municipal Railway,12473765,NTD
2008-09-01,San Francisco Municipal Railway,12369809,NTD
2008-09-01,Bay Area Rapid Transit,10128639,NTD
2008-10-01,Bay Area Rapid Transit,10616630,NTD
2008-10-01,San Francisco Municipal Railway,12690063,NTD
2008-11-01,Bay Area Rapid Transit,9132590,NTD
2008-11-01,San Francisco Municipal Railway,10884022,NTD
2008-12-01,Bay Area Rapid Transit,9521093,NTD
2008-12-01,San Francisco Municipal Railway,10636869,NTD
2009-01-01,San Francisco Municipal Railway,11136960,NTD
2009-01-01,Bay Area Rapid Transit,8963546,NTD
2009-02-01,Bay Area Rapid Transit,8440692,NTD
2009-02-01,San Francisco Municipal Railway,10441930,NTD
2009-03-01,San Francisco Municipal Railway,11684123,NTD
2009-03-01,Bay Area Rapid Transit,9448208,NTD
2009-04-01,San Francisco Municipal Railway,11452308,NTD
2009-04-01,Bay Area Rapid Transit,9381910,NTD
2009-05-01,San Francisco Municipal Railway,11836665,NTD
2009-05-01,Bay Area Rapid Transit,9131064,NTD
2009-06-01,Bay Area Rapid Transit,9372670,NTD
2009-06-01,San Francisco Municipal Railway,12248926,NTD
2009-07-01,San Francisco Municipal Railway,14088337,NTD
2009-07-01,Bay Area Rapid Transit,9238253,NTD
2009-08-01,Bay Area Rapid Transit,9034136,NTD
2009-08-01,San Francisco Municipal Railway,14236926,NTD
2009-09-01,San Francisco Municipal Railway,13279471,NTD
2009-09-01,Bay Area Rapid Transit,9615486,NTD
