month_label,2025,2026
Jan,3280195,3219813
Feb,3132369,3325612
Mar,3456642,3728624
Apr,3527688,3637156
May,3532607,
Jun,2979125,
Jul,3033368,
Aug,3406914,
Sep,3689304,
Oct,3788015,
Nov,3165781,
Dec,3070840,
