month_label,2025,2026
Jan,820443,1187708
Feb,750389,1022834
Mar,896348,1141951
Apr,987446,1176296
May,1019481,
Jun,1163817,
Jul,1160572,
Aug,1195461,
Sep,1235482,
Oct,1314942,
Nov,1195323,
Dec,1176084,
