date,agency_name,value,source
2014-08-01,AC Transit,4445143,NTD
2014-09-01,AC Transit,4827585,NTD
2014-10-01,AC Transit,5205091,NTD
2014-11-01,AC Transit,4372561,NTD
2014-12-01,AC Transit,4247702,NTD
2015-01-01,AC Transit,4523226,NTD
2015-02-01,AC Transit,4327554,NTD
2015-03-01,AC Transit,4897949,NTD
2015-04-01,AC Transit,4918448,NTD
2015-05-01,AC Transit,4649112,NTD
2015-06-01,AC Transit,4496035,NTD
2015-07-01,AC Transit,4514069,NTD
2015-08-01,AC Transit,4449066,NTD
2015-09-01,AC Transit,4861532,NTD
2015-10-01,AC Transit,4953014,NTD
2015-11-01,AC Transit,4293895,NTD
2015-12-01,AC Transit,4081936,NTD
2016-01-01,AC Transit,4039910,NTD
2016-02-01,AC Transit,4464721,NTD
2016-03-01,AC Transit,4741118,NTD
2016-04-01,AC Transit,4665255,NTD
2016-05-01,AC Transit,4462562,NTD
2016-06-01,AC Transit,4317278,NTD
2016-07-01,AC Transit,4175134,NTD
2016-08-01,AC Transit,4512880,NTD
2016-09-01,AC Transit,4700598,NTD
2016-10-01,AC Transit,4710585,NTD
2016-11-01,AC Transit,4370034,NTD
2016-12-01,AC Transit,4042493,NTD
2017-01-01,AC Transit,4170446,NTD
2017-02-01,AC Transit,4140734,NTD
2017-03-01,AC Transit,4813318,NTD
2017-04-01,AC Transit,4349718,NTD
2017-05-01,AC Transit,4504921,NTD
2017-06-01,AC Transit,4196511,NTD
2017-07-01,AC Transit,4031202,NTD
2017-08-01,AC Transit,4551386,NTD
2017-09-01,AC Transit,4623700,NTD
2017-10-01,AC Transit,4874047,NTD
2017-11-01,AC Transit,4265664,NTD
2017-12-01,AC Transit,4049478,NTD
2018-01-01,AC Transit,4087872,NTD
2018-02-01,AC Transit,4129137,NTD
2018-03-01,AC Transit,4482893,NTD
2018-04-01,AC Transit,4432094,NTD
2018-05-01,AC Transit,4389091,NTD
2018-06-01,AC Transit,4102504,NTD
2018-07-01,AC Transit,4102574,NTD
2018-08-01,AC Transit,4635405,NTD
2018-09-01,AC Transit,4636041,NTD
2018-10-01,AC Transit,5172613,NTD
2018-11-01,AC Transit,4349656,NTD
2018-12-01,AC Transit,4048101,NTD
2019-01-01,AC Transit,4331730,NTD
2019-02-01,AC Transit,4105528,NTD
2019-03-01,AC Transit,4584336,NTD
2019-04-01,AC Transit,4680105,NTD
2019-05-01,AC Transit,4648376,NTD
2019-06-01,AC Transit,4008575,NTD
2019-07-01,AC Transit,4309923,NTD
2019-08-01,AC Transit,4711296,NTD
2019-09-01,AC Transit,4833045,NTD
2019-10-01,AC Transit,5213789,NTD
2019-11-01,AC Transit,4481701,NTD
2019-12-01,AC Transit,4193501,NTD
2020-01-01,AC Transit,4453146,NTD
2020-02-01,AC Transit,4536769,NTD
2020-03-01,AC Transit,3135853,NTD
2020-04-01,AC Transit,1415652,NTD
2020-05-01,AC Transit,1632833,NTD
2020-06-01,AC Transit,1674025,NTD
2020-07-01,AC Transit,1909495,NTD
2020-08-01,AC Transit,1993111,NTD
2020-09-01,AC Transit,2070880,NTD
2020-10-01,AC Transit,2058377,NTD
2020-11-01,AC Transit,1606517,NTD
2020-12-01,AC Transit,1583952,NTD
2021-01-01,AC Transit,1493045,NTD
2021-02-01,AC Transit,1465452,NTD
2021-03-01,AC Transit,1698886,NTD
2021-04-01,AC Transit,1743697,NTD
2021-05-01,AC Transit,1811107,NTD
2021-06-01,AC Transit,1900693,NTD
2021-07-01,AC Transit,1967664,NTD
2021-08-01,AC Transit,2257174,NTD
2021-09-01,AC Transit,2536671,NTD
2021-10-01,AC Transit,2595715,NTD
2021-11-01,AC Transit,2464465,NTD
2021-12-01,AC Transit,2221736,NTD
2022-01-01,AC Transit,2081846,NTD
2022-02-01,AC Transit,2330802,NTD
2022-03-01,AC Transit,2746216,NTD
2022-04-01,AC Transit,2694654,NTD
2022-05-01,AC Transit,2718900,NTD
2022-06-01,AC Transit,2414944,NTD
2022-07-01,AC Transit,2391509,NTD
2022-08-01,AC Transit,2923180,NTD
2022-09-01,AC Transit,3020430,NTD
2022-10-01,AC Transit,3131824,NTD
2022-11-01,AC Transit,2872436,NTD
2022-12-01,AC Transit,2605698,NTD
2023-01-01,AC Transit,2753553,NTD
2023-02-01,AC Transit,2789668,NTD
2023-03-01,AC Transit,3126401,NTD
2023-04-01,AC Transit,3114354,NTD
2023-05-01,AC Transit,3170271,NTD
2023-06-01,AC Transit,2871445,NTD
2023-07-01,AC Transit,2821252,NTD
2023-08-01,AC Transit,3416538,NTD
2023-09-01,AC Transit,3480811,NTD
2023-10-01,AC Transit,3656217,NTD
2023-11-01,AC Transit,3239491,NTD
2023-12-01,AC Transit,3008198,NTD
2024-01-01,AC Transit,3206159,NTD
2024-02-01,AC Transit,3264106,NTD
2024-03-01,AC Transit,3442151,NTD
2024-04-01,AC Transit,3448013,NTD
2024-05-01,AC Transit,3449423,NTD
2024-06-01,AC Transit,3031833,NTD
2024-07-01,AC Transit,3050495,NTD
2024-08-01,AC Transit,3454166,NTD
2024-09-01,AC Transit,3636133,NTD
2024-10-01,AC Transit,3874983,NTD
2024-11-01,AC Transit,3189705,NTD
2024-12-01,AC Transit,3077332,NTD
2025-01-01,AC Transit,3280195,NTD
2025-02-01,AC Transit,3132369,NTD
2025-03-01,AC Transit,3456642,NTD
2025-04-01,AC Transit,3527688,NTD
2025-05-01,AC Transit,3532607,NTD
2025-06-01,AC Transit,2979125,NTD
2025-07-01,AC Transit,3033368,NTD
2025-08-01,AC Transit,3406914,NTD
2025-09-01,AC Transit,3689304,NTD
2025-10-01,AC Transit,3788015,NTD
2025-11-01,AC Transit,3165781,NTD
2025-12-01,AC Transit,3070840,NTD
2026-01-01,AC Transit,3219813,NTD
2026-02-01,AC Transit,3325612,NTD
2026-03-01,AC Transit,3646076,NTD
